_id,DISH_ID,REVIEWER,CONTENT
5feaef7893f2e60091f5ecff,5feaef7993f2e60091f5ed97,Nicole Franco, Cheese scone was the best I have ever had! Delicious 
5feaef7893f2e60091f5ed00,5feaef7993f2e60091f5edb2,Pablo Terry, This steak and salad is absolutely delicious. How's yours - Mines very good.
5feaef7893f2e60091f5ed01,5feaef7993f2e60091f5edb2,Desiree Lambert," I gotta be honest, that indian dish just looks sooooooo good"
5feaef7893f2e60091f5ed02,5feaef7993f2e60091f5edab,Chadwick Stephenson, I can’t imagine anything more New York than a Jewish old guy called Yenkel delivering wood to a pizza place 
5feaef7893f2e60091f5ed03,5feaef7993f2e60091f5edae,Daphne Gilbert, Thanks for all 
5feaef7893f2e60091f5ed04,5feaef7993f2e60091f5ed95,Sonya Mosley, Staff were very friendly and helpful.
5feaef7893f2e60091f5ed05,5feaef7993f2e60091f5ed95,Katina Browning, I love pessi 
5feaef7893f2e60091f5ed06,5feaef7993f2e60091f5ed81,Kari Boyd, What's that you are eatin 
5feaef7893f2e60091f5ed07,5feaef7993f2e60091f5eda1,Seth Mc Bride, the food are very delicious and i want to try all! 
5feaef7893f2e60091f5ed08,5feaef7993f2e60091f5edaa,Bernard Knight, Cheese scone was the best I have ever had! Delicious 
5feaef7893f2e60091f5ed09,5feaef7993f2e60091f5ed98,Devon Fleming, Now we are back home in Somerset I write to thank Bobby and staff for giving us a nice lunch and everyone enjoyed the Llama Experience.  Thank you
5feaef7893f2e60091f5ed0a,5feaef7993f2e60091f5ed81,Janet Ramos, Nice
5feaef7893f2e60091f5ed0b,5feaef7993f2e60091f5ed84,Jose Velazquez, Everybody gangsta till yenkel shows up with wood 
5feaef7893f2e60091f5ed0c,5feaef7993f2e60091f5ed8c,Joshua Conrad, I can’t imagine anything more New York than a Jewish old guy called Yenkel delivering wood to a pizza place 
5feaef7893f2e60091f5ed0d,5feaef7993f2e60091f5ed8f,Cassandra Randall, Lovely cake and lovely animals 
5feaef7893f2e60091f5ed0e,5feaef7993f2e60091f5edab,Marlon Ingram, Nice 
5feaef7893f2e60091f5ed0f,5feaef7993f2e60091f5eda1,Karl Mac Donald, nice pinch of salt 
5feaef7893f2e60091f5ed10,5feaef7993f2e60091f5ed85,Shari Kelley, Everybody gangsta till yenkel shows up with wood 
5feaef7893f2e60091f5ed11,5feaef7993f2e60091f5eda9,Gabriel Proctor, I love pessi 
5feaef7893f2e60091f5ed12,5feaef7993f2e60091f5ed90,Judy Hatfield, What's that you are eating 
5feaef7893f2e60091f5ed13,5feaef7993f2e60091f5ed9f,Alan Norton," The quality of the food is great, especially your red cabbage – a delight! "
5feaef7893f2e60091f5ed14,5feaef7993f2e60091f5edae,Gabriela Little, Save the best for last 
5feaef7893f2e60091f5ed15,5feaef7993f2e60091f5ed83,Mario Hampton,"  It doesn't look very appetizing, but it tastes delicious ."
